word	freq	tag	base	lemma
megadá	15	3sg.ipf.def	adá	ad
megasza	15	3sg.ipf.indef	asza	asz
megkené	15	3sg.ipf.def	kené	ken
elosztá	14	3sg.ipf.def	osztá	oszt
elárulá	14	3sg.ipf.def	árulá	árul
meglátá	14	3sg.ipf.def	látá	lát
tekinte	14	3sg.ipf.indef	tekinte	tekint
ereszte	13	3sg.ipf.indef	ereszte	ereszt
kényszeríté	13	3sg.ipf.def	kényszeríté	kényszerít
lelé	13	3sg.ipf.def	lelé	lel
megcsókolá	13	3sg.ipf.def	csókolá	csókol
megfenyegeté	13	3sg.ipf.def	fenyegeté	fenyeget
megfenyíté	13	3sg.ipf.def	fenyíté	fenyít
megfogá	13	3sg.ipf.def	fogá	fog
megvallá	13	3sg.ipf.def	vallá	vall
nyere	13	3sg.ipf.indef	nyere	nyer
akarná	12	3sg.ipf.def	akarná	akarn
csapá	12	3sg.ipf.def	csapá	csap
elereszté	12	3sg.ipf.def	ereszté	ereszt
felvivé	12	3sg.ipf.def	vivé	viv
meggyógyíta	12	3sg.ipf.indef	gyógyíta	gyógyít
megindula	12	3sg.ipf.indef	indula	indul
megnyitá	12	3sg.ipf.def	nyitá	nyit
plántála	12	3sg.ipf.indef	plántála	plántál
választa	12	3sg.ipf.indef	választa	választ
alámene	11	3sg.ipf.indef	alámene	alámen
betakará	11	3sg.ipf.def	takará	takar
elfuta	11	3sg.ipf.indef	futa	fut
kikele	11	3sg.ipf.indef	kele	kel
kivivé	11	3sg.ipf.def	vivé	viv
kére	11	3sg.ipf.indef	kére	kér
megdorgálá	11	3sg.ipf.def	dorgálá	dorgál
meghalna	11	3sg.ipf.indef	halna	haln
megszárada	11	3sg.ipf.indef	szárada	szárad
megszólala	11	3sg.ipf.indef	szólala	szólal
szakada	11	3sg.ipf.indef	szakada	szakad
szereté	11	3sg.ipf.def	szereté	szeret
takará	11	3sg.ipf.def	takará	takar
ása	11	3sg.ipf.indef	ása	ás
befogadá	10	3sg.ipf.def	fogadá	fogad
beszéle	10	3sg.ipf.indef	széle	szél
borula	10	3sg.ipf.indef	borula	borul
csinála	10	3sg.ipf.indef	csinála	csinál
dicséré	10	3sg.ipf.def	dicséré	dicsér
hátrafordula	10	3sg.ipf.indef	hátrafordula	hátrafordul
ismeré	10	3sg.ipf.def	ismeré	ismer
lele	10	3sg.ipf.indef	lele	lel
megtalálá	10	3sg.ipf.def	találá	talál
nevezé	10	3sg.ipf.def	nevezé	nevez
örüle	10	3sg.ipf.indef	örüle	örül
elvevé	9	3sg.ipf.def	vevé	vev
felüvölte	9	3sg.ipf.indef	üvölte	üvölt
fogada	9	3sg.ipf.indef	fogada	fogad
kené	9	3sg.ipf.def	kené	ken
kivoná	9	3sg.ipf.def	voná	von
mattaté	9	3sg.ipf.def	mattaté	mattat
megijede	9	3sg.ipf.indef	ijede	ijed
megtisztula	9	3sg.ipf.indef	tisztula	tisztul
meré	9	3sg.ipf.def	meré	mer
tagadá	9	3sg.ipf.def	tagadá	tagad
viselé	9	3sg.ipf.def	viselé	visel
beméne	8	3sg.ipf.indef	méne	mén
felfordítá	8	3sg.ipf.def	fordítá	fordít
felhága	8	3sg.ipf.indef	hága	hág
felüle	8	3sg.ipf.indef	üle	ül
foga	8	3sg.ipf.indef	foga	fog
hala	8	3sg.ipf.indef	hala	hal
kettészakada	8	3sg.ipf.indef	kettészakada	kettészakad
kiterjede	8	3sg.ipf.indef	terjede	terjed
körülvevé	8	3sg.ipf.def	körülvevé	körülvev
leveté	8	3sg.ipf.def	leveté	levet
megérté	8	3sg.ipf.def	érté	ért
ráüle	8	3sg.ipf.indef	ráüle	ráül
szüle	8	3sg.ipf.indef	szüle	szül
tanítá	8	3sg.ipf.def	tanítá	tanít
